Title Name,Language,Type,Rating,IMDb,Cover Image Path
5 Centimeters Per Second,Movie,Japanese,TV-PG,,images\5centimeterspersecond.jpeg
7SEEDS,TV,English,TV-MA,6.3/10,images\AAAABaIxapLx_30QA169nEWtVtNqkEBkI47OvMeRItriJHr80i1lxxIjRiAbECQI9G8SWz-7yMtHJZPRKDPFsXsSTblQrmLQ3LMCuEH1FOL5CxyDmHNfmU82U1r8E6bceKsDlhSExmD5YddXuvJlwvsY8WMTpzWJ62Y.jpg
A Whisker Away,Movie,Japanese,TV-PG,,images\AAAABWUfdrOF3ru7L_48txd-a2DBqRnDq1iJyeAyKob-qympXQSkYh1XetzMLXpu3gjObKVz-_TOid0A6M42i8iuG9FDovMdwATij5ZKoyF6neGmWziKqru3MgJd0_wGtg.jpg
A.I.C.O.,TV,Japanese,TV-14,6.4/10,
Adam by Eve: A live in Animation,Movie,Japanese,TV-14,,images\adambyevealiveinanimation.jpeg
Aggretsuko,TV,English,TV-14,8.0/10,images\AAAABWx42hW4ak-ezI6O_ombvmuv9qN03lzo38FOcXescrwkJ91tkaIYfrcu1Ua270OGsbYn32fl1gBuHtapsD0o5mC3eltiEj4AFEbJQVi5A15bgzRKsk42RY2kkmg41Cs3u9hLIGPQamQIFiLFEnTdHA.jpg
Aggretsuko: We Wish You a Metal Christmas,Movie,English,TV-PG,7.5/10,
AJIN: Demi-Human,TV,Japanese,TV-MA,6.4/10,
Akuma Kun,TV,Japanese,TV-MA,,images\akumakun.jpeg
Alice in Borderland,TV,Japanese,TV-MA,,images\aliceinborderland.jpeg
Altered Carbon: Resleeved,Movie,Japanese,TV-MA,6.5/10,images\AAAABarp0_ESBiX6EV9xDNFPbFBYPcbqlKhXaP7_qZiCtTUrozoK6_aHdcMvLZY6bHhBaFveXmh9MJof54qgLVK-0GGd3bU6x2k7ADuSiIo0fDLnu0I23ujvhUUs7klBJg.jpg
B: The Beginning,TV,Japanese,TV-MA,7.2/10,
Back Street Girls -GOKUDOLS-,TV,Japanese,TV-MA,6.6/10,
BAKI,TV,Japanese,TV-MA,6.7/10,images\AAAABeo1tjbiMR4PkqhpcN_0rbFPBwtFzTsMAn8OGnylji-1ptscs9PTC_bMezZ6C3FfXNphToy_Y8Kk4fqPLpisuFYVKClb-3hjrN_YX9Oc8fbGYchFnAqaKtp40BEQ-Ir_qt2UlE0xF94vy786z2I2hK24JC7m_j0.jpg
Baki Hanma,TV,Japanese,TV-MA,,images\bakihanma.jpeg
Baki Hanma VS Kengan Ashura,Movie,Japanese,TV-MA,,images\bakihanmavskenganashura.jpeg
BEASTARS,TV,Japanese,TV-MA,8.0/10,images\AAAABQexaRA68VT_NgvqU6Th_fdCYYMQ-2M9-dZ09zdCwR73mztOBuAwKs1Ohx08AP2fR_lAt4nWfHa8lR0DF_rPVc8vAVRN9eFllvZa-NQljCIE8bsaBjMn_G8Dx6kkTA.jpg
Bee and PuppyCat,TV,English,TV-PG,,images\beeandpuppycat.jpeg
Beyblade Burst QuadDrive,TV,English,TV-Y,,images\beybladeburstquaddrive.jpeg
Beyblade Burst Rise,TV,English,TV-Y7,,images\beybladeburstrise.jpeg
Beyblade Burst Turbo,TV,English,TV-Y7,,images\AAAABaMGLfq-CoPXI5zJ2Jus5Y-XXN0aC9N8D9ARqD4wkmRcO8_m8LGLGCFbI0ZCbf9HvbFwAYAImSObku5nQbgzAA_wn--X.jpg
BEYBLADE X,TV,Japanese,TV-Y7,,images\beybladex.jpeg
Black Butler,TV,Japanese,TV-MA,7.8/10,
Black Clover,TV,Portuguese,TV-PG,,images\blackclover.jpeg
Black Clover: Sword of the Wizard King,Movie,Japanese,TV-14,,images\blackcloverswordofthewizardking.jpeg
BLAME!,Movie,Japanese,TV-14,6.7/10,
Blazing Transfer Students,TV,Japanese,TV-MA,7.3/10,
Blood of Zeus,TV,English,TV-MA,,images\bloodofzeus.jpeg
Blue Box,TV,Japanese,TV-PG,,images\bluebox.jpeg
BLUE GIANT,Movie,Japanese,TV-14,,images\bluegiant.jpeg
Blue Period,TV,Japanese,TV-14,,images\blueperiod.jpeg
